Genome	GenomeID	SourceStage	SourceBranch	Completeness	Contamination	MIMAGQuality	Contigs	GenomeBp	N50Bp	SHA256	Path
taxvamb__007.fna	taxvamb__007	Article42-QC-pass	TaxVAMB-Kraken2	100.0	0.06	Not re-audited for complete markers	48	1859642	48450	ce8e021af9fa69702a64dde572c32832261e73f2f9da67008e0a4cccb395b33d	${ARTICLE45_WORK_DIR}/inputs/genomes/taxvamb__007.fna
taxvamb__008.fna	taxvamb__008	Article42-QC-pass	TaxVAMB-Kraken2	99.41	0.33	Not re-audited for complete markers	83	1937978	44823	0c9920d688c8e18cd58113f4ed884bd72d1ed75f63b9b099fc45adee9f24da52	${ARTICLE45_WORK_DIR}/inputs/genomes/taxvamb__008.fna
taxvamb__011.fna	taxvamb__011	Article42-QC-pass	TaxVAMB-Kraken2	91.95	3.3	Not re-audited for complete markers	550	6370188	17235	7d631028c53dea07b1c534f6320628154f0f8ef51da8100d41ae156e11928095	${ARTICLE45_WORK_DIR}/inputs/genomes/taxvamb__011.fna
taxvamb__012.fna	taxvamb__012	Article42-QC-pass	TaxVAMB-Kraken2	95.95	0.54	Not re-audited for complete markers	117	2022800	26973	04c0bf37cc10d5f3bca4423bff72918e20ca604ecbaa7fdfe676afaca1ef3b52	${ARTICLE45_WORK_DIR}/inputs/genomes/taxvamb__012.fna
taxvamb__013.fna	taxvamb__013	Article42-QC-pass	TaxVAMB-Kraken2	88.43	0.02	Not re-audited for complete markers	194	1963322	14759	076b2070c4713fe54b659398d012c4567a252186d70d94f0e361ffc997441c91	${ARTICLE45_WORK_DIR}/inputs/genomes/taxvamb__013.fna
taxvamb__014.fna	taxvamb__014	Article42-QC-pass	TaxVAMB-Kraken2	93.15	0.16	Not re-audited for complete markers	227	1982480	12924	cd1ed92161dfc2d6222de377fb8a1c49d1a78b2c48c7df4f6e9f329e0beed200	${ARTICLE45_WORK_DIR}/inputs/genomes/taxvamb__014.fna
taxvamb__015.fna	taxvamb__015	Article42-QC-pass	TaxVAMB-Kraken2	100.0	0.48	Not re-audited for complete markers	6	1910339	672984	35d7b3ed3d8295ebdcd0d79fd512e3efee1582f24cc36bb8179807815f1dd6aa	${ARTICLE45_WORK_DIR}/inputs/genomes/taxvamb__015.fna
taxvamb__021.fna	taxvamb__021	Article42-QC-pass	TaxVAMB-Kraken2	77.72	0.36	Not re-audited for complete markers	266	1075080	4771	fdd058e68d0bf277cec8048fdc0b1b13bd32b7f99fc9ccf7974b9d78702fecc6	${ARTICLE45_WORK_DIR}/inputs/genomes/taxvamb__021.fna
taxvamb__022.fna	taxvamb__022	Article42-QC-pass	TaxVAMB-Kraken2	99.47	0.19	Not re-audited for complete markers	12	1732760	443866	1318b9b25375182e9ed3b9c362fbae1afbf07c55ee4b02c9526d36613dd8a11f	${ARTICLE45_WORK_DIR}/inputs/genomes/taxvamb__022.fna
taxvamb__025.fna	taxvamb__025	Article42-QC-pass	TaxVAMB-Kraken2	65.55	0.01	Not re-audited for complete markers	10	2270897	372866	e6c8d3e6ccdd7a8fb9e8a2850cb833eb7eed7e1bfab49c6efebb46d2e1d29a16	${ARTICLE45_WORK_DIR}/inputs/genomes/taxvamb__025.fna
taxvamb__026.fna	taxvamb__026	Article42-QC-pass	TaxVAMB-Kraken2	59.44	0.01	Not re-audited for complete markers	317	930429	3170	ef769ed88f501aee9dfe043362d8be1dd59dbc406e51cbb96c9712165b576939	${ARTICLE45_WORK_DIR}/inputs/genomes/taxvamb__026.fna
taxvamb__027.fna	taxvamb__027	Article42-QC-pass	TaxVAMB-Kraken2	64.21	1.19	Not re-audited for complete markers	42	1254797	66793	47cd3a131fffcaa76390666bf9f850a50f16007a0a7a4ecc7a890e643550c76c	${ARTICLE45_WORK_DIR}/inputs/genomes/taxvamb__027.fna
taxvamb__028.fna	taxvamb__028	Article42-QC-pass	TaxVAMB-Kraken2	77.63	6.32	Not re-audited for complete markers	477	1599453	3710	08cf2e7adcc4a07aa7f2154fb87c3647eec0a42fc3aa8d3a8fef81ba5c7a9f5b	${ARTICLE45_WORK_DIR}/inputs/genomes/taxvamb__028.fna
taxvamb__033.fna	taxvamb__033	Article42-QC-pass	TaxVAMB-Kraken2	98.03	0.45	Not re-audited for complete markers	189	5618393	52966	afb12deb73b4356f25a96068a229b7ad32800359adc1e348eef93b3735212546	${ARTICLE45_WORK_DIR}/inputs/genomes/taxvamb__033.fna
taxvamb__034.fna	taxvamb__034	Article42-QC-pass	TaxVAMB-Kraken2	99.91	0.12	Not re-audited for complete markers	43	1734637	79303	974df6cef6f1d99aa3e7ab61f82f61586c31582bead915eb3dd0d4177bbdc539	${ARTICLE45_WORK_DIR}/inputs/genomes/taxvamb__034.fna
taxvamb__035.fna	taxvamb__035	Article42-QC-pass	TaxVAMB-Kraken2	100.0	0.04	Not re-audited for complete markers	77	2643322	47024	15114bf6c8fe4894a3bd1e74247c393c4ace98dd8d1947a3c5cff20ef6b0d7ec	${ARTICLE45_WORK_DIR}/inputs/genomes/taxvamb__035.fna
vamb__001.fna	vamb__001	Article42-QC-pass	VAMB-taxonomy-free	99.95	0.8	Not re-audited for complete markers	13	4629413	432090	f5dd0161e09ab726d6aefd14d1b23818f2257496217572c8dd5eae2b1890a3bf	${ARTICLE45_WORK_DIR}/inputs/genomes/vamb__001.fna
vamb__002.fna	vamb__002	Article42-QC-pass	VAMB-taxonomy-free	100.0	0.05	Not re-audited for complete markers	54	1906417	48108	dc2d5759242402e7bb00c52c04fa147df5107bd63764d03f96bde339396faa7a	${ARTICLE45_WORK_DIR}/inputs/genomes/vamb__002.fna
vamb__003.fna	vamb__003	Article42-QC-pass	VAMB-taxonomy-free	97.39	1.36	Not re-audited for complete markers	123	2046752	26973	f324b1b99ca8e24fcdbe7a1828d9c4d199c931e27a0af728d4c7e2f542fef4ca	${ARTICLE45_WORK_DIR}/inputs/genomes/vamb__003.fna
vamb__004.fna	vamb__004	Article42-QC-pass	VAMB-taxonomy-free	93.45	3.44	Not re-audited for complete markers	558	6462447	16960	744aa1792fd9ca76bac57148f882a90008271f497283de0b0fc93dbd99366e3a	${ARTICLE45_WORK_DIR}/inputs/genomes/vamb__004.fna
vamb__005.fna	vamb__005	Article42-QC-pass	VAMB-taxonomy-free	87.98	0.01	Not re-audited for complete markers	192	1968516	14674	fbee68c931193826e3d2eb437061da4c13287617b8e58c3a39bde50ea55c086f	${ARTICLE45_WORK_DIR}/inputs/genomes/vamb__005.fna
vamb__006.fna	vamb__006	Article42-QC-pass	VAMB-taxonomy-free	93.21	0.21	Not re-audited for complete markers	223	1978493	13059	958339fe9803be02e7bd8ffe384706323cd49551ea4cd29a9d1edcb60663cbd3	${ARTICLE45_WORK_DIR}/inputs/genomes/vamb__006.fna
vamb__008.fna	vamb__008	Article42-QC-pass	VAMB-taxonomy-free	85.54	0.23	Not re-audited for complete markers	65	406209	8323	6500166deb36cd5e788658404a74f7d8dfaf258c82348e8d05648a68eb68ee8c	${ARTICLE45_WORK_DIR}/inputs/genomes/vamb__008.fna
vamb__009.fna	vamb__009	Article42-QC-pass	VAMB-taxonomy-free	100.0	0.48	Not re-audited for complete markers	6	1910339	672984	35d7b3ed3d8295ebdcd0d79fd512e3efee1582f24cc36bb8179807815f1dd6aa	${ARTICLE45_WORK_DIR}/inputs/genomes/vamb__009.fna
vamb__010.fna	vamb__010	Article42-QC-pass	VAMB-taxonomy-free	77.28	1.75	Not re-audited for complete markers	262	1074998	4901	f980277024b8c2ba0c16d28d37df931ac10f80c46708d44c8ba017b76dabb221	${ARTICLE45_WORK_DIR}/inputs/genomes/vamb__010.fna
vamb__012.fna	vamb__012	Article42-QC-pass	VAMB-taxonomy-free	99.46	0.19	Not re-audited for complete markers	10	1727173	443866	455f49ec6b88b1b079e2906d65fe16e298a9daaab79ac5023cdfc98048cab0bd	${ARTICLE45_WORK_DIR}/inputs/genomes/vamb__012.fna
vamb__020.fna	vamb__020	Article42-QC-pass	VAMB-taxonomy-free	62.93	1.76	Not re-audited for complete markers	326	1039774	3534	4cfe2d75edb822f3d442654c491657c2b00c9be013f47bce8baa8a4e236c5e85	${ARTICLE45_WORK_DIR}/inputs/genomes/vamb__020.fna
vamb__021.fna	vamb__021	Article42-QC-pass	VAMB-taxonomy-free	99.41	0.42	Not re-audited for complete markers	197	5692387	52893	84d4450abe573f4add041e5658d14e24c0e6cc73eacc7defa3fa9e292c851036	${ARTICLE45_WORK_DIR}/inputs/genomes/vamb__021.fna
vamb__022.fna	vamb__022	Article42-QC-pass	VAMB-taxonomy-free	100.0	0.05	Not re-audited for complete markers	74	2640305	47024	1033879afffd50fc14ad3ed2924d7f01c66a3acf25e0a7ce94390fdd4ba69c62	${ARTICLE45_WORK_DIR}/inputs/genomes/vamb__022.fna
vamb__023.fna	vamb__023	Article42-QC-pass	VAMB-taxonomy-free	99.99	0.56	Not re-audited for complete markers	72	2559549	58864	8c7156c12a9cafb268897c1df812c1d4f3d3db9c98eb126b4e188a8d2ff717d1	${ARTICLE45_WORK_DIR}/inputs/genomes/vamb__023.fna
vamb__025.fna	vamb__025	Article42-QC-pass	VAMB-taxonomy-free	99.95	0.2	Not re-audited for complete markers	67	2614762	59244	849765cc3b4b150397a555232e8402b8fcbe57eb987e4189d5953443ed10ea71	${ARTICLE45_WORK_DIR}/inputs/genomes/vamb__025.fna
